x,y,z,best_yaw_ang,best_pitch_ang
-173.364,22.779,2.14403,210,0
-174.508,27.9141,2.18112,210,0
-175.685,33.0406,2.18635,90,0
-176.961,38.1287,2.2507,150,0
-178.328,43.1189,2.33014,150,0
-179.833,48.0398,2.39552,180,0
-181.434,52.7971,2.42564,180,0
-183.237,57.7822,2.49934,180,0
-185.067,62.5208,2.54231,210,0
-186.925,67.2812,2.58169,210,0
-188.979,72.0665,2.64477,210,0
-191.125,76.915,2.70532,240,0
-193.241,81.4964,2.79452,60,0
-195.365,86.1083,2.95463,60,0
-197.587,90.6624,3.17492,30,0
-199.873,95.1273,3.29069,0,0
-202.374,99.7863,3.31508,0,0
-204.923,104.302,3.35332,330,0
-207.433,108.684,3.32992,90,0
-210.122,113.167,3.30289,60,0
-212.911,117.551,3.18675,60,0
-215.97,121.622,2.8785,30,0
-356.877,74.5854,2.16812,90,0
-359.739,70.423,2.19671,90,0
-362.021,65.9143,2.21207,210,0
-363.932,61.1615,2.2377,180,0
-365.799,56.3003,2.27812,150,0
-367.555,51.4324,2.31407,150,0
-369.175,46.5609,2.36478,270,0
-370.644,41.6554,2.37606,270,0
-372.154,36.6008,2.39858,270,0
-373.803,31.8048,2.4215,270,0
-375.785,26.9349,2.45576,270,0
-378.094,22.3246,2.44386,60,0
-380.876,17.9951,2.44513,240,0
-383.968,13.8324,2.44237,30,0
-387.428,10.0469,2.45665,30,0
-391.222,6.56794,2.44169,30,0
-395.196,3.51601,2.45413,30,0
-399.645,0.914123,2.46299,30,0
-404.382,-1.20194,2.50507,0,0
-409.209,-2.77506,2.49493,210,0
-414.109,-3.93701,2.46344,180,0
-419.232,-4.60775,2.41826,210,0
-424.265,-4.81806,2.37266,180,0
-429.288,-5.18661,2.3671,180,0
-434.432,-4.94967,2.36862,180,0
-439.464,-3.62979,2.40598,180,0
-444.095,-1.69328,2.4293,180,0
-448.676,0.587582,2.39907,180,0
-453.015,3.14911,2.39439,180,0
-457.233,5.89915,2.41145,300,0
-461.464,8.7386,2.37885,180,0
-465.874,11.5239,2.34742,180,0
-470.233,14.0353,2.32334,300,0
-474.776,16.4759,2.27032,300,0
-479.312,18.7755,2.23187,300,0
-483.901,21.141,2.2519,300,0
-488.409,23.3261,2.25555,300,0
-493.183,25.045,2.2226,300,0
-567.64,-1.0319,2.93494,120,0
-569.007,-5.9727,3.01936,90,0
-569.497,-10.9597,3.16173,180,0
-569.836,-16.1383,3.18906,150,0
-570.239,-21.281,3.22945,150,0
-570.699,-26.4075,3.24899,300,0
-571.195,-31.541,3.22271,300,0
-571.624,-36.5611,3.21267,330,0
-571.837,-41.5745,3.17735,0,0
-571.933,-46.626,3.0794,30,0
-571.821,-51.7493,2.98982,60,0
-571.568,-56.8554,2.93651,60,0
-571.261,-61.9144,2.86459,330,0
-570.904,-67.1088,2.79819,330,0
-570.338,-72.3471,2.74655,30,0
